2022/03/27 14:56:12 [error] 377#377: *629 keycloak could not be resolved (3: Host not found), client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET / HTTP/1.1", host: "keycloak.cpnv-srw3.ch", referrer: "http://proxy.cpnv-srw3.ch/"
2022/03/27 14:56:12 [error] 377#377: *629 keycloak could not be resolved (3: Host not found), client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /favicon.ico HTTP/1.1", host: "keycloak.cpnv-srw3.ch", referrer: "http://keycloak.cpnv-srw3.ch/"
2022/03/27 15:07:13 [warn] 377#377: *971 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/master/console/messages.json?lang=en HTTP/1.1", upstream: "http://172.18.0.7:8080/auth/admin/master/console/messages.json?lang=en", host: "keycloak.cpnv-srw3.ch"
2022/03/27 15:07:13 [warn] 378#378: *986 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/serverinfo HTTP/1.1", upstream: "http://172.18.0.7:8080/auth/admin/serverinfo", host: "keycloak.cpnv-srw3.ch"
2022/03/27 15:13:37 [warn] 322#322: *131 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/master/console/messages.json?lang=en HTTP/1.1", upstream: "http://172.18.0.2:8080/auth/admin/master/console/messages.json?lang=en", host: "keycloak.cpnv-srw3.ch"
2022/03/27 15:13:37 [warn] 315#315: *209 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/serverinfo HTTP/1.1", upstream: "http://172.18.0.2:8080/auth/admin/serverinfo", host: "keycloak.cpnv-srw3.ch"
2022/03/27 15:25:59 [warn] 351#351: *1140 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 10.10.0.144, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/master/console/messages.json?lang=en HTTP/1.1", upstream: "http://172.18.0.2:8080/auth/admin/master/console/messages.json?lang=en", host: "keycloak.cpnv-srw3.ch"
2022/03/27 15:25:59 [warn] 350#350: *1187 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 10.10.0.144, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/serverinfo HTTP/1.1", upstream: "http://172.18.0.2:8080/auth/admin/serverinfo", host: "keycloak.cpnv-srw3.ch"
2022/03/27 16:04:17 [warn] 515#515: *882 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 10.10.0.144, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/serverinfo HTTP/1.1", upstream: "http://172.18.0.5:8080/auth/admin/serverinfo", host: "keycloak.cpnv-srw3.ch"
2022/03/27 16:13:05 [warn] 615#615: *1603 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 10.10.0.144, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/serverinfo HTTP/1.1", upstream: "http://172.18.0.5:8080/auth/admin/serverinfo", host: "keycloak.cpnv-srw3.ch"
2022/03/28 07:23:31 [warn] 317#317: *564 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/01/0000000018 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/fontawesome-webfont.woff2?v=4.7.0", host: "keycloak.cpnv-srw3.ch"
